gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
1.97,3.83,3.05,0.90,-0.02,0.55
2.18,3.13,2.81,0.90,-0.01,0.53
2.18,2.12,2.12,0.89,-0.01,0.54
2.27,0.92,1.36,0.89,-0.01,0.55
2.41,-0.18,0.55,0.89,-0.01,0.54
2.23,-1.21,-0.21,0.89,-0.01,0.56
2.20,-1.94,-1.10,0.89,-0.01,0.54
2.18,-2.26,-1.76,0.90,-0.01,0.54
2.06,-2.43,-1.57,0.89,-0.01,0.54
1.89,-2.52,-1.27,0.89,-0.01,0.54
1.77,-2.05,-1.16,0.90,-0.02,0.54
1.34,-1.53,-1.16,0.90,-0.02,0.54
1.16,-1.07,-0.73,0.90,-0.01,0.53
1.21,-0.75,-0.60,0.90,-0.02,0.54
1.18,-1.02,-0.85,0.90,-0.01,0.55
1.44,-0.81,-0.58,0.90,-0.01,0.55
0.76,-1.07,-0.34,0.90,-0.02,0.54
1.33,-1.25,-0.49,0.90,-0.02,0.54
1.08,-1.21,-0.47,0.90,-0.02,0.54
0.99,-0.47,-0.37,0.90,-0.01,0.54
0.96,-0.29,-0.23,0.90,-0.02,0.54
1.18,-0.12,-0.41,0.90,-0.02,0.53
0.87,-0.32,-0.37,0.90,-0.01,0.54
0.96,0.02,-0.38,0.90,-0.02,0.54
1.18,-0.06,-0.21,0.90,-0.01,0.54
1.10,0.37,0.15,0.90,-0.01,0.54
1.07,0.87,0.37,0.90,-0.01,0.53
0.89,0.84,0.50,0.90,-0.02,0.54
0.58,1.28,0.60,0.90,-0.02,0.54
0.66,1.65,0.61,0.90,-0.01,0.54
0.79,1.69,0.73,0.90,-0.01,0.54
1.01,1.69,0.89,0.90,-0.02,0.54
1.05,1.66,0.76,0.89,-0.02,0.55
1.31,1.85,1.05,0.89,-0.02,0.54
1.56,2.84,1.30,0.90,-0.02,0.54
1.74,3.77,1.98,0.89,-0.02,0.54
1.80,3.85,2.66,0.90,-0.02,0.54
2.50,4.31,3.33,0.90,-0.02,0.54
3.28,5.74,4.58,0.91,-0.02,0.55
4.02,7.25,6.58,0.91,-0.02,0.53
4.50,8.82,8.60,0.91,-0.03,0.54
4.46,9.37,9.83,0.90,-0.03,0.54
3.02,10.69,10.37,0.90,-0.03,0.54
5.05,10.35,10.93,0.89,-0.02,0.54
5.89,11.51,11.97,0.90,-0.03,0.54
5.36,11.50,12.41,0.89,-0.04,0.56
5.22,10.29,11.48,0.88,-0.03,0.56
6.02,9.76,11.16,0.88,-0.02,0.55
4.15,7.68,9.42,0.87,-0.02,0.57
1.83,-3.25,-2.26,0.84,0.03,0.55
5.36,-1.07,-3.36,0.89,-0.02,0.56
4.66,1.07,1.83,0.91,-0.04,0.56
1.95,-0.63,5.45,0.91,-0.04,0.55
2.32,-4.03,2.64,0.88,-0.04,0.56
4.31,-4.66,0.73,0.88,-0.03,0.56
5.28,-4.79,0.70,0.88,-0.03,0.56
6.17,-4.60,0.93,0.88,-0.02,0.56
7.40,-4.38,1.04,0.88,-0.02,0.55
7.51,-4.29,-0.09,0.88,-0.03,0.55
7.27,-4.82,-1.04,0.89,-0.02,0.55
6.64,-4.66,-2.58,0.89,-0.02,0.54
6.20,-5.01,-4.06,0.89,-0.02,0.56
5.63,-5.18,-5.01,0.88,-0.02,0.55
5.40,-4.60,-4.75,0.89,-0.02,0.55
4.49,-4.23,-3.86,0.89,-0.03,0.55
3.63,-2.96,-2.29,0.89,-0.03,0.55
3.79,-3.51,-2.67,0.89,-0.02,0.54
4.58,-3.10,-2.27,0.90,-0.03,0.55
4.26,-3.08,-1.19,0.90,-0.03,0.54
2.26,-4.20,-0.99,0.89,-0.04,0.56
1.79,-5.15,-0.78,0.89,-0.02,0.55
2.81,-5.92,-1.91,0.89,-0.01,0.55
2.92,-6.29,-2.09,0.89,-0.02,0.55
3.21,-6.37,-1.98,0.90,-0.02,0.54
2.82,-6.64,-1.73,0.89,-0.01,0.54
2.73,-6.34,-1.89,0.89,-0.02,0.54
2.37,-5.48,-0.78,0.90,-0.02,0.54
2.56,-6.18,-1.28,0.89,-0.02,0.53
3.33,-7.39,-1.50,0.89,-0.02,0.53
2.38,-8.27,-0.95,0.90,-0.03,0.53
1.50,-9.15,-0.84,0.89,-0.03,0.53
0.43,-12.17,-2.72,0.87,-0.03,0.53
-0.44,-18.17,-7.07,0.86,-0.03,0.53
-2.11,-25.92,-13.98,0.86,-0.00,0.53
-3.76,-35.24,-25.11,0.83,0.04,0.54
-3.51,-45.59,-40.63,0.81,0.06,0.51
1.15,-46.99,-52.79,0.83,0.11,0.54
-3.07,-54.89,-65.63,0.84,0.10,0.50
-3.44,-50.35,-71.08,0.91,0.09,0.50
-3.91,-48.44,-74.61,0.93,0.05,0.48
-2.00,-47.21,-74.61,0.97,-0.00,0.46
-3.11,-45.45,-70.31,1.00,-0.02,0.46
-6.43,-41.74,-64.56,1.01,-0.01,0.45
-4.32,-37.36,-56.98,0.99,0.03,0.43
-0.79,-30.37,-45.97,0.98,0.04,0.43
-0.89,-23.39,-36.20,0.97,0.05,0.45
-1.13,-20.90,-32.44,0.96,0.08,0.44
-0.40,-17.01,-29.76,0.95,0.10,0.44
2.17,-11.95,-23.53,0.96,0.09,0.44
3.27,-9.30,-18.26,0.95,0.09,0.44
