gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0.84,0.89,2.34,0.77,-0.06,0.70
0.27,2.50,1.22,0.76,-0.05,0.68
0.50,4.21,0.49,0.75,-0.05,0.68
-0.12,5.08,-0.05,0.75,-0.06,0.67
0.34,5.44,-0.41,0.77,-0.06,0.68
0.27,5.02,-0.90,0.79,-0.06,0.68
0.46,3.73,-1.16,0.80,-0.08,0.69
0.53,1.63,-1.21,0.80,-0.09,0.68
1.30,0.49,-0.37,0.81,-0.09,0.68
1.15,0.44,1.45,0.81,-0.11,0.67
0.23,1.19,3.36,0.82,-0.11,0.68
-0.09,2.18,4.41,0.82,-0.10,0.68
-0.06,2.63,4.08,0.81,-0.08,0.70
0.69,2.64,3.53,0.81,-0.05,0.70
1.25,2.24,2.46,0.81,-0.05,0.70
1.59,0.96,0.85,0.80,-0.05,0.71
2.29,-0.34,-0.84,0.78,-0.06,0.71
2.63,-0.76,-2.05,0.76,-0.06,0.71
2.67,0.31,-3.05,0.76,-0.07,0.71
1.80,1.62,-3.59,0.76,-0.06,0.69
2.11,3.44,-3.44,0.77,-0.06,0.69
1.50,3.98,-3.51,0.77,-0.07,0.68
1.24,3.62,-3.33,0.79,-0.08,0.69
1.63,2.24,-2.38,0.80,-0.09,0.68
1.45,0.99,-1.15,0.80,-0.09,0.69
1.24,0.00,-0.06,0.81,-0.10,0.69
1.25,-0.46,0.81,0.81,-0.08,0.68
1.16,-0.89,0.95,0.81,-0.08,0.70
1.86,-0.11,1.19,0.80,-0.06,0.70
2.21,-0.34,1.19,0.80,-0.05,0.71
3.15,0.00,0.67,0.80,-0.05,0.71
3.97,0.64,0.05,0.81,-0.06,0.72
4.23,0.46,-1.37,0.82,-0.05,0.73
4.43,-0.93,-2.46,0.83,-0.06,0.73
3.73,-4.23,-3.71,0.81,-0.08,0.72
3.57,-7.39,-5.21,0.80,-0.08,0.72
2.96,-8.06,-5.53,0.77,-0.08,0.71
1.44,-8.00,-4.96,0.75,-0.08,0.71
-2.23,-9.37,-5.82,0.74,-0.09,0.65
-6.14,-14.79,-8.99,0.72,-0.08,0.63
-6.44,-20.12,-12.31,0.72,-0.04,0.61
-5.18,-22.98,-16.96,0.75,-0.02,0.60
-7.33,-25.62,-24.24,0.76,-0.00,0.65
-10.64,-31.89,-34.20,0.77,0.02,0.70
-10.29,-35.48,-38.81,0.81,0.02,0.73
-7.16,-31.88,-34.63,0.85,-0.00,0.68
-1.77,-24.08,-23.04,0.89,-0.07,0.64
1.44,-14.95,-9.21,0.93,-0.11,0.61
2.47,-6.75,3.31,0.92,-0.14,0.61
1.18,-0.17,12.96,0.90,-0.11,0.64
0.56,6.12,18.14,0.88,-0.07,0.67
3.63,13.48,21.73,0.87,-0.05,0.66
7.79,21.31,26.99,0.89,-0.04,0.66
10.26,28.66,32.53,0.89,-0.08,0.68
9.33,31.95,37.63,0.87,-0.11,0.72
6.61,30.61,37.86,0.81,-0.13,0.70
3.98,23.86,33.60,0.73,-0.12,0.68
4.08,21.21,28.70,0.69,-0.08,0.68
3.42,24.21,27.68,0.69,-0.08,0.68
0.72,25.39,25.27,0.70,-0.08,0.66
-3.83,24.34,20.14,0.69,-0.07,0.67
-3.92,22.92,16.29,0.71,-0.04,0.67
-1.24,20.31,12.72,0.73,-0.03,0.68
0.49,17.57,9.82,0.78,-0.06,0.71
1.37,12.63,7.16,0.80,-0.08,0.69
3.30,7.60,4.49,0.81,-0.11,0.70
3.47,5.31,2.60,0.80,-0.12,0.69
4.75,3.57,1.85,0.80,-0.12,0.68
5.82,2.56,1.04,0.80,-0.10,0.69
7.50,1.91,-0.15,0.81,-0.09,0.69
9.77,1.59,-1.42,0.81,-0.07,0.71
11.51,1.50,-2.99,0.81,-0.08,0.72
