gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0.99,0.05,0.27,0.87,-0.07,0.57
0.70,-0.14,0.34,0.87,-0.06,0.57
0.96,-0.29,0.26,0.87,-0.07,0.58
1.10,-0.38,-0.24,0.87,-0.07,0.58
1.19,-0.23,-0.50,0.87,-0.07,0.58
1.22,0.11,-0.47,0.88,-0.07,0.57
1.44,0.02,-0.93,0.87,-0.07,0.59
1.88,0.15,-1.01,0.87,-0.07,0.57
1.86,0.53,-0.76,0.87,-0.06,0.57
1.62,0.31,-0.43,0.87,-0.06,0.59
1.48,0.53,-0.38,0.87,-0.07,0.59
0.82,0.24,-0.20,0.87,-0.07,0.58
0.23,-0.34,-1.05,0.86,-0.07,0.58
-0.05,-1.59,-2.18,0.87,-0.07,0.59
-0.84,-2.70,-3.15,0.85,-0.07,0.58
-1.45,-4.85,-4.75,0.84,-0.08,0.59
-1.51,-7.68,-7.04,0.83,-0.07,0.57
-1.30,-10.37,-8.46,0.85,-0.06,0.57
0.85,-14.46,-12.52,0.86,-0.02,0.55
1.48,-14.84,-16.03,0.87,-0.03,0.56
3.15,-17.76,-19.36,0.88,-0.05,0.55
4.85,-18.79,-21.54,0.89,-0.05,0.58
3.73,-21.91,-25.85,0.88,-0.03,0.57
4.95,-20.24,-26.78,0.89,-0.04,0.57
5.71,-20.09,-26.09,0.88,-0.04,0.56
5.40,-20.90,-25.89,0.89,-0.04,0.56
7.79,-19.15,-25.22,0.89,-0.03,0.53
7.37,-21.02,-25.82,0.87,-0.03,0.54
7.91,-20.31,-24.82,0.90,-0.03,0.53
6.95,-20.66,-23.85,0.91,-0.03,0.53
6.21,-20.29,-23.91,0.90,-0.01,0.54
6.03,-19.44,-22.84,0.92,-0.02,0.55
4.15,-17.97,-20.81,0.91,-0.03,0.53
3.40,-19.18,-20.35,0.92,-0.02,0.51
3.34,-17.30,-18.35,0.92,-0.01,0.52
4.90,-19.62,-15.92,0.91,0.04,0.49
6.21,-22.11,-14.50,0.91,0.09,0.49
5.94,-14.11,-11.01,0.93,0.04,0.54
9.10,-11.57,-9.44,0.92,-0.01,0.53
6.17,-10.52,-8.17,0.93,-0.02,0.53
3.44,-10.78,-5.91,0.93,-0.03,0.53
4.98,-11.57,-5.01,0.93,0.00,0.52
5.68,-8.63,-0.90,0.93,-0.00,0.52
5.80,-6.64,1.73,0.94,-0.00,0.52
2.34,-3.63,3.92,0.95,-0.00,0.51
4.24,-2.90,5.10,0.94,0.00,0.50
6.35,2.24,11.95,0.96,0.01,0.51
8.26,8.14,20.75,0.98,-0.01,0.51
10.35,9.66,24.56,0.96,-0.00,0.51
10.27,15.39,28.78,0.94,-0.02,0.51
9.34,19.18,33.68,0.93,-0.03,0.54
7.04,22.32,35.37,0.88,-0.05,0.55
7.04,25.48,38.53,0.88,-0.07,0.52
5.36,28.92,43.57,0.88,-0.08,0.51
1.36,25.02,43.21,0.89,-0.08,0.50
1.56,26.61,42.95,0.90,-0.06,0.53
0.58,24.20,39.01,0.88,-0.04,0.53
0.66,23.07,33.13,0.88,-0.03,0.54
0.20,20.53,27.95,0.87,-0.03,0.55
-0.67,17.31,26.24,0.89,-0.04,0.55
-0.52,11.94,21.21,0.87,-0.03,0.54
-0.06,9.98,16.14,0.86,-0.04,0.56
-0.20,9.44,14.05,0.88,-0.05,0.56
-1.59,7.37,11.07,0.87,-0.05,0.55
-1.08,6.44,8.66,0.86,-0.04,0.54
-1.16,0.79,-1.51,0.83,0.02,0.56
2.27,-0.12,-5.63,0.89,-0.05,0.54
3.02,-1.83,-2.52,0.91,-0.08,0.54
-1.48,-5.39,-2.52,0.90,-0.08,0.55
-0.61,-5.60,-4.18,0.88,-0.07,0.54
1.01,-6.60,-5.42,0.88,-0.06,0.54
1.21,-4.96,-4.64,0.88,-0.06,0.56
1.08,-2.58,-3.34,0.89,-0.05,0.57
0.21,-2.06,-3.60,0.88,-0.06,0.56
-0.61,-1.60,-3.47,0.89,-0.07,0.55
-1.54,-1.80,-4.02,0.88,-0.07,0.54
-1.45,0.03,-2.72,0.89,-0.06,0.55
-1.92,0.99,-2.50,0.89,-0.06,0.55
