gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
-3.04,-15.04,-16.70,0.91,-0.11,0.52
-3.76,-11.77,-12.89,0.92,-0.11,0.51
-3.89,-8.92,-7.73,0.93,-0.11,0.51
-6.11,-7.15,-4.44,0.93,-0.11,0.52
-6.24,-6.27,-2.73,0.92,-0.12,0.50
-6.29,-4.72,-1.82,0.92,-0.10,0.51
-6.60,-3.13,0.06,0.92,-0.10,0.52
-6.76,-2.89,2.27,0.92,-0.11,0.51
-5.45,-0.08,4.37,0.91,-0.09,0.52
-3.98,3.27,6.99,0.91,-0.10,0.53
-2.47,5.51,10.98,0.91,-0.13,0.51
-3.21,3.98,11.01,0.90,-0.12,0.52
-3.16,1.56,9.05,0.90,-0.10,0.51
-2.15,1.51,8.05,0.90,-0.07,0.51
-1.57,2.78,7.79,0.89,-0.07,0.52
-2.12,2.84,8.21,0.90,-0.10,0.51
-1.88,1.95,8.56,0.90,-0.12,0.52
-2.38,1.05,7.16,0.89,-0.10,0.52
-1.25,1.42,5.42,0.89,-0.09,0.53
-0.52,2.29,4.11,0.88,-0.08,0.53
0.00,3.19,4.56,0.89,-0.11,0.52
-0.46,3.92,4.81,0.89,-0.11,0.51
-0.63,5.24,4.99,0.91,-0.12,0.52
-1.79,4.46,4.79,0.91,-0.12,0.52
-2.15,3.11,4.05,0.90,-0.12,0.52
-1.54,2.31,3.44,0.90,-0.11,0.52
-1.71,1.65,3.66,0.91,-0.13,0.53
-1.10,0.64,3.86,0.90,-0.10,0.51
-1.54,-0.43,3.50,0.89,-0.11,0.51
0.49,1.16,3.21,0.89,-0.11,0.53
-0.64,1.51,3.04,0.88,-0.12,0.52
-0.26,3.69,3.92,0.90,-0.13,0.53
-1.02,1.65,1.71,0.89,-0.12,0.52
-0.96,0.92,1.08,0.90,-0.12,0.53
-0.34,1.27,1.65,0.89,-0.12,0.51
-0.87,0.87,0.95,0.90,-0.11,0.52
-1.21,0.95,0.44,0.90,-0.11,0.51
-0.70,2.40,0.47,0.90,-0.11,0.52
-0.11,2.53,0.63,0.90,-0.12,0.53
0.12,2.78,0.75,0.89,-0.11,0.53
0.52,3.51,0.92,0.89,-0.12,0.52
0.84,3.10,0.90,0.89,-0.12,0.53
0.69,3.47,0.63,0.89,-0.12,0.52
0.87,2.78,0.53,0.90,-0.12,0.52
0.79,2.76,0.43,0.90,-0.12,0.53
0.63,2.34,0.00,0.90,-0.13,0.53
0.34,1.62,0.02,0.90,-0.13,0.53
0.73,1.74,0.32,0.90,-0.12,0.52
1.04,2.46,0.66,0.89,-0.12,0.54
0.63,2.11,0.58,0.89,-0.12,0.53
0.99,2.27,0.15,0.89,-0.13,0.53
1.25,2.49,-0.41,0.88,-0.12,0.52
1.53,3.16,-0.66,0.90,-0.12,0.53
0.92,2.09,-0.12,0.90,-0.12,0.53
1.07,1.95,-1.60,0.89,-0.11,0.52
2.24,1.63,-2.89,0.89,-0.10,0.53
2.64,1.63,-3.89,0.88,-0.08,0.53
2.93,1.42,-5.11,0.88,-0.08,0.53
7.74,-4.00,-9.88,0.85,0.02,0.50
15.86,-12.56,-20.64,0.79,0.12,0.52
23.91,-16.96,-27.56,0.78,0.12,0.52
27.16,-16.75,-34.55,0.78,0.06,0.53
28.92,-10.34,-38.15,0.86,-0.04,0.52
26.66,-0.81,-37.22,0.92,-0.13,0.51
22.14,6.56,-31.13,0.97,-0.22,0.53
17.56,6.87,-21.85,0.99,-0.23,0.50
15.82,9.47,-12.21,1.01,-0.21,0.50
17.39,11.25,-3.34,1.02,-0.19,0.47
11.63,13.33,6.29,0.99,-0.16,0.52
7.02,15.37,14.85,0.97,-0.15,0.54
7.53,12.73,11.94,0.92,-0.13,0.53
9.53,11.33,9.68,0.91,-0.11,0.51
10.98,11.59,8.70,0.90,-0.10,0.55
10.78,14.82,12.26,0.90,-0.12,0.55
10.53,14.35,15.01,0.89,-0.13,0.56
