gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
1.42,0.23,1.60,0.85,-0.14,0.59
1.18,-0.60,1.27,0.86,-0.13,0.60
1.19,-1.34,0.46,0.85,-0.13,0.58
1.16,-1.82,-0.15,0.85,-0.14,0.58
1.28,-2.24,-0.60,0.85,-0.13,0.58
1.47,-2.76,-0.61,0.86,-0.13,0.58
1.47,-3.40,-0.56,0.86,-0.13,0.58
1.42,-3.18,-0.49,0.86,-0.13,0.59
1.22,-3.88,-0.78,0.86,-0.14,0.59
1.37,-4.32,-0.90,0.85,-0.14,0.59
1.51,-4.61,-1.08,0.85,-0.14,0.59
1.31,-5.27,-1.68,0.86,-0.14,0.58
1.36,-5.22,-2.09,0.85,-0.14,0.59
1.04,-5.34,-2.12,0.85,-0.14,0.58
0.63,-6.05,-3.16,0.85,-0.14,0.59
0.58,-5.40,-3.56,0.85,-0.14,0.59
0.14,-5.31,-3.95,0.85,-0.13,0.59
-0.29,-6.12,-4.63,0.86,-0.13,0.58
-0.66,-7.48,-6.00,0.85,-0.13,0.58
-1.10,-8.46,-6.75,0.85,-0.14,0.58
-1.79,-9.42,-7.76,0.85,-0.14,0.58
-2.35,-9.50,-8.23,0.86,-0.13,0.58
-3.21,-10.64,-8.41,0.86,-0.14,0.57
-3.85,-12.63,-9.27,0.85,-0.13,0.57
-4.47,-14.46,-10.11,0.87,-0.13,0.56
-5.91,-20.29,-12.52,0.85,-0.13,0.56
-6.55,-26.05,-15.18,0.85,-0.13,0.55
-8.12,-26.43,-17.39,0.86,-0.13,0.55
-5.04,-30.85,-24.03,0.84,-0.12,0.64
9.31,-27.60,-31.56,0.91,0.02,0.52
5.42,-20.87,-22.44,0.91,-0.11,0.52
-2.18,-23.25,-19.16,0.89,-0.18,0.54
-5.25,-22.24,-17.71,0.90,-0.14,0.55
-3.68,-25.08,-18.72,0.90,-0.10,0.53
-3.34,-22.63,-20.46,0.88,-0.10,0.53
-3.56,-23.40,-21.19,0.90,-0.09,0.53
-4.34,-21.53,-20.27,0.91,-0.11,0.52
-4.14,-19.77,-19.34,0.90,-0.11,0.52
-4.75,-17.91,-18.85,0.91,-0.11,0.53
-4.15,-16.46,-17.59,0.91,-0.10,0.52
-3.27,-15.27,-16.81,0.91,-0.09,0.53
-2.34,-13.63,-15.01,0.92,-0.09,0.51
-0.72,-12.41,-13.18,0.91,-0.09,0.51
-2.15,-10.47,-11.94,0.92,-0.09,0.51
-1.77,-10.12,-11.40,0.92,-0.07,0.50
-0.92,-9.53,-10.55,0.91,-0.08,0.50
0.17,-7.56,-9.47,0.92,-0.07,0.50
0.05,-6.99,-7.88,0.92,-0.08,0.49
0.20,-6.18,-6.41,0.92,-0.09,0.51
0.64,-4.69,-4.35,0.92,-0.09,0.50
0.66,-3.28,-2.96,0.92,-0.08,0.50
0.43,-2.09,-2.24,0.92,-0.09,0.50
-0.15,-2.03,-2.72,0.91,-0.08,0.50
-0.23,-2.56,-3.60,0.91,-0.07,0.50
-0.23,-1.88,-3.85,0.91,-0.07,0.50
-0.46,-2.66,-3.95,0.91,-0.07,0.50
-0.87,-3.31,-4.47,0.91,-0.07,0.49
-0.73,-3.91,-4.76,0.91,-0.08,0.48
-0.60,-3.05,-5.31,0.91,-0.07,0.50
-0.50,-2.31,-5.39,0.91,-0.07,0.49
-0.26,-0.82,-4.63,0.91,-0.06,0.49
-0.02,0.84,-3.63,0.91,-0.07,0.50
0.02,1.48,-3.11,0.91,-0.08,0.49
0.27,2.49,-2.15,0.92,-0.08,0.48
0.67,3.42,-0.49,0.93,-0.08,0.49
1.19,4.29,0.96,0.93,-0.07,0.49
1.44,4.06,1.36,0.93,-0.06,0.49
1.89,3.89,1.36,0.93,-0.06,0.49
2.24,4.32,1.54,0.92,-0.07,0.50
1.80,3.45,1.27,0.91,-0.07,0.51
1.15,1.71,-0.23,0.89,-0.07,0.51
0.87,3.33,-0.24,0.89,-0.07,0.51
0.56,6.14,0.76,0.90,-0.07,0.52
-0.17,8.72,2.00,0.90,-0.07,0.50
-0.02,9.68,1.44,0.91,-0.07,0.51
0.67,9.69,1.62,0.92,-0.07,0.51
1.05,8.90,1.95,0.93,-0.07,0.51
1.21,7.98,2.27,0.93,-0.06,0.50
1.50,5.73,1.74,0.92,-0.07,0.50
1.45,5.19,1.77,0.92,-0.07,0.51
1.73,5.44,2.31,0.91,-0.07,0.50
1.45,5.92,2.92,0.91,-0.07,0.52
1.88,6.89,3.73,0.91,-0.07,0.50
1.51,7.59,4.46,0.92,-0.06,0.50
2.76,9.27,6.56,0.92,-0.05,0.52
4.06,10.95,9.83,0.94,-0.06,0.52
6.03,10.82,15.15,0.96,-0.08,0.52
5.37,9.40,21.65,0.97,-0.11,0.52
1.98,8.78,31.21,0.99,-0.16,0.51
-3.10,10.11,43.31,0.99,-0.22,0.49
-8.05,13.15,49.73,0.94,-0.22,0.46
-9.40,18.29,52.81,0.90,-0.17,0.48
-6.26,25.24,53.40,0.87,-0.14,0.48
-4.99,29.50,51.21,0.85,-0.09,0.50
-3.21,17.31,36.90,0.80,-0.09,0.55
2.29,13.54,27.15,0.84,-0.07,0.56
4.14,9.16,22.29,0.85,-0.07,0.54
2.12,5.15,18.66,0.83,-0.09,0.55
2.52,1.95,14.05,0.85,-0.10,0.54
3.92,0.75,8.32,0.84,-0.10,0.54
4.70,2.34,4.58,0.84,-0.12,0.55
3.80,4.40,3.40,0.85,-0.13,0.54
5.42,11.22,4.43,0.87,-0.15,0.58
7.34,9.86,3.24,0.86,-0.15,0.55
6.26,9.51,1.71,0.88,-0.16,0.57
6.96,6.76,0.24,0.88,-0.15,0.55
5.76,3.77,0.06,0.89,-0.15,0.56
6.60,2.24,0.23,0.89,-0.15,0.55
6.64,2.52,0.75,0.88,-0.15,0.55
5.77,3.57,1.83,0.87,-0.15,0.55
5.18,3.42,1.11,0.86,-0.15,0.55
4.20,3.05,0.93,0.87,-0.15,0.55
3.51,2.61,1.18,0.88,-0.15,0.54
2.46,2.02,2.15,0.89,-0.15,0.55
3.15,0.47,2.14,0.88,-0.15,0.56
2.69,0.87,1.83,0.87,-0.14,0.56
2.90,-0.75,0.95,0.87,-0.13,0.55
4.26,-1.40,-0.38,0.87,-0.13,0.57
6.87,-0.64,-1.08,0.87,-0.12,0.55
8.02,-1.13,-4.26,0.86,-0.11,0.55
6.84,-0.11,-5.89,0.87,-0.14,0.56
4.38,0.18,-5.94,0.87,-0.15,0.55
2.34,-0.73,-6.05,0.88,-0.15,0.54
4.89,-2.89,-7.28,0.88,-0.13,0.55
5.92,-2.66,-7.11,0.88,-0.13,0.55
4.35,-1.59,-7.11,0.87,-0.14,0.56
6.87,1.66,-5.63,0.88,-0.15,0.53
4.02,3.53,-2.66,0.89,-0.16,0.55
3.48,4.23,-5.66,0.89,-0.15,0.53
4.84,7.04,-2.23,0.90,-0.17,0.53
2.20,5.71,1.19,0.88,-0.16,0.55
0.95,6.76,1.63,0.87,-0.15,0.55
0.00,7.74,2.11,0.87,-0.14,0.55
0.99,10.37,3.50,0.87,-0.15,0.56
0.35,12.52,4.93,0.88,-0.16,0.55
-1.59,12.03,5.05,0.87,-0.16,0.56
-1.16,11.01,4.05,0.87,-0.14,0.57
-0.08,11.02,3.69,0.87,-0.14,0.56
-0.12,10.49,3.37,0.88,-0.13,0.56
0.29,10.44,3.54,0.87,-0.14,0.55
0.90,11.02,4.03,0.87,-0.14,0.56
1.19,11.97,5.36,0.87,-0.14,0.57
1.16,10.79,5.63,0.86,-0.14,0.57
2.03,9.54,4.41,0.86,-0.14,0.58
3.76,8.08,3.63,0.87,-0.14,0.57
4.23,7.71,3.76,0.86,-0.15,0.58
4.21,7.22,4.52,0.86,-0.15,0.57
4.29,6.18,4.17,0.86,-0.15,0.58
4.66,6.49,3.48,0.86,-0.15,0.58
4.31,6.02,2.93,0.86,-0.15,0.58
3.82,5.71,2.35,0.86,-0.14,0.59
3.63,5.76,2.53,0.87,-0.15,0.58
3.57,5.86,2.99,0.86,-0.14,0.58
3.24,5.65,3.42,0.86,-0.15,0.59
3.18,4.93,3.31,0.86,-0.15,0.58
2.87,4.64,3.19,0.85,-0.14,0.60
2.82,4.27,2.79,0.85,-0.15,0.59
2.60,4.24,2.75,0.85,-0.15,0.58
2.61,4.56,2.95,0.84,-0.16,0.58
2.40,3.92,2.35,0.84,-0.15,0.58
3.10,4.03,1.73,0.86,-0.14,0.58
2.46,4.15,1.44,0.86,-0.14,0.59
2.63,4.15,1.85,0.86,-0.15,0.59
2.66,4.09,2.06,0.85,-0.16,0.59
2.58,3.39,1.34,0.85,-0.16,0.60
3.31,3.36,0.58,0.86,-0.15,0.59
3.11,3.25,0.00,0.86,-0.15,0.60
3.19,2.69,-0.24,0.85,-0.15,0.60
3.10,2.06,-0.99,0.85,-0.15,0.60
3.37,1.56,-1.36,0.85,-0.15,0.60
2.98,1.56,-0.81,0.86,-0.15,0.60
2.69,0.99,-0.24,0.85,-0.15,0.59
3.10,1.34,0.24,0.86,-0.16,0.60
2.75,0.89,0.72,0.85,-0.16,0.59
2.66,0.73,0.99,0.85,-0.15,0.60
2.21,0.43,1.28,0.85,-0.16,0.60
2.35,-0.43,1.37,0.85,-0.15,0.61
2.17,-0.49,1.33,0.85,-0.16,0.59
1.71,-0.46,1.27,0.85,-0.15,0.60
0.87,-0.60,0.73,0.85,-0.15,0.60
0.76,-0.26,0.46,0.85,-0.16,0.60
1.18,0.09,0.35,0.84,-0.15,0.59
1.56,-0.35,0.72,0.85,-0.16,0.60
1.83,0.64,0.46,0.84,-0.15,0.59
1.65,1.37,0.49,0.85,-0.15,0.59
2.15,1.34,0.14,0.85,-0.15,0.60
2.87,1.27,-0.34,0.85,-0.15,0.59
2.92,0.20,-0.89,0.86,-0.14,0.60
4.50,-0.73,-1.27,0.86,-0.15,0.59
6.67,-1.11,-0.67,0.86,-0.15,0.58
6.20,-0.43,-0.38,0.86,-0.16,0.61
4.41,-0.41,-0.44,0.86,-0.16,0.60
3.98,0.64,-0.75,0.84,-0.16,0.62
2.38,-0.82,-1.37,0.86,-0.16,0.60
2.47,-0.58,-1.45,0.84,-0.15,0.60
1.56,-0.60,-1.97,0.84,-0.14,0.59
1.30,-0.50,-1.80,0.84,-0.15,0.58
0.60,-0.15,-1.86,0.84,-0.14,0.59
-0.05,-0.09,-2.58,0.84,-0.13,0.59
0.61,0.79,-1.83,0.84,-0.13,0.59
1.21,2.85,0.00,0.85,-0.14,0.60
1.42,3.42,1.31,0.86,-0.14,0.58
0.84,2.70,1.59,0.86,-0.14,0.59
1.16,1.31,0.79,0.85,-0.14,0.59
0.69,0.26,0.58,0.85,-0.14,0.60
0.66,0.18,0.93,0.85,-0.15,0.60
0.63,0.58,1.21,0.85,-0.16,0.59
0.81,1.89,1.37,0.85,-0.15,0.60
1.11,2.85,1.54,0.85,-0.16,0.59
1.48,3.40,2.06,0.85,-0.15,0.60
1.71,3.11,2.09,0.85,-0.14,0.59
1.94,2.29,1.36,0.85,-0.14,0.59
2.26,2.15,0.82,0.85,-0.14,0.59
2.78,2.00,1.13,0.85,-0.14,0.59
2.61,1.60,0.76,0.86,-0.14,0.59
3.07,1.63,0.60,0.85,-0.15,0.60
3.16,1.36,0.66,0.85,-0.15,0.60
2.46,0.96,0.99,0.86,-0.16,0.59
2.34,0.85,1.22,0.85,-0.16,0.60
2.47,0.84,1.37,0.85,-0.15,0.60
2.41,1.21,1.42,0.85,-0.15,0.60
2.24,0.96,1.05,0.84,-0.15,0.60
1.74,1.05,0.96,0.84,-0.15,0.59
1.31,1.71,0.60,0.85,-0.16,0.60
1.21,2.79,0.63,0.85,-0.16,0.60
0.87,2.41,1.02,0.85,-0.16,0.60
1.07,1.24,0.47,0.85,-0.15,0.60
1.69,1.21,-0.23,0.85,-0.14,0.61
1.80,1.40,-0.15,0.85,-0.15,0.60
1.86,1.22,0.55,0.84,-0.15,0.60
2.41,1.16,0.82,0.84,-0.16,0.61
2.93,0.98,0.67,0.84,-0.15,0.60
2.63,0.84,0.47,0.84,-0.16,0.61
2.63,0.81,0.53,0.84,-0.15,0.61
2.58,0.61,0.26,0.84,-0.14,0.60
2.70,0.55,-0.24,0.85,-0.15,0.60
2.98,0.11,-0.66,0.85,-0.15,0.60
2.79,-0.06,-0.70,0.84,-0.15,0.61
2.35,-1.01,-1.16,0.84,-0.15,0.61
1.94,-1.54,-1.82,0.85,-0.15,0.61
1.66,-1.53,-2.20,0.85,-0.15,0.61
1.08,-1.22,-1.79,0.85,-0.16,0.61
0.37,-1.80,-1.62,0.85,-0.16,0.60
0.67,-1.63,-2.17,0.84,-0.16,0.61
0.52,-1.05,-2.32,0.85,-0.15,0.61
0.03,-0.87,-1.54,0.85,-0.15,0.61
-0.15,-1.36,-1.60,0.85,-0.14,0.60
-0.12,-1.16,-1.63,0.85,-0.15,0.60
0.02,-1.62,-1.60,0.85,-0.14,0.60
0.78,-1.51,-1.13,0.85,-0.14,0.60
0.72,-1.01,-0.29,0.86,-0.14,0.60
0.46,-1.30,-0.20,0.85,-0.14,0.60
0.70,-1.42,0.18,0.84,-0.15,0.60
0.55,-1.65,0.43,0.85,-0.15,0.60
0.72,-1.24,0.82,0.84,-0.14,0.59
1.24,-0.90,1.33,0.85,-0.14,0.59
1.10,-0.61,0.60,0.86,-0.13,0.59
1.02,-1.27,-0.06,0.85,-0.14,0.59
1.07,-1.73,-0.24,0.84,-0.15,0.60
0.90,-1.42,0.18,0.85,-0.16,0.59
0.69,-0.96,-0.21,0.84,-0.15,0.60
0.05,-0.38,-0.40,0.84,-0.16,0.60
0.26,0.35,-0.66,0.84,-0.15,0.60
0.37,1.13,-0.52,0.84,-0.16,0.60
0.17,1.24,-0.79,0.84,-0.15,0.59
0.52,1.25,-0.87,0.84,-0.15,0.59
0.60,1.66,-0.55,0.85,-0.15,0.58
0.73,1.74,-0.58,0.85,-0.14,0.58
1.25,1.94,-0.02,0.85,-0.14,0.59
1.42,1.79,0.21,0.85,-0.14,0.60
1.63,1.60,0.44,0.86,-0.15,0.59
2.08,1.36,0.47,0.85,-0.15,0.60
2.20,0.93,0.15,0.85,-0.15,0.59
2.53,0.61,0.26,0.85,-0.15,0.60
2.37,0.75,0.38,0.85,-0.15,0.61
1.79,0.90,0.37,0.85,-0.15,0.60
1.51,0.98,-0.03,0.85,-0.15,0.60
1.51,0.92,-0.11,0.84,-0.16,0.60
1.16,1.22,-0.20,0.84,-0.15,0.60
0.99,1.16,-0.20,0.84,-0.16,0.60
1.21,1.42,-0.44,0.85,-0.15,0.60
1.44,1.47,-0.38,0.84,-0.15,0.60
1.59,1.34,-0.05,0.85,-0.15,0.61
1.18,1.31,0.08,0.85,-0.15,0.60
1.19,0.70,0.03,0.85,-0.14,0.60
1.13,0.21,-0.17,0.85,-0.15,0.61
1.40,-0.08,-0.15,0.85,-0.15,0.60
1.89,0.31,-0.02,0.85,-0.15,0.60
1.77,-0.11,0.15,0.84,-0.16,0.60
1.65,-0.67,-0.31,0.85,-0.15,0.61
1.88,-1.02,-0.73,0.85,-0.15,0.60
2.15,-0.92,-0.85,0.84,-0.15,0.61
1.94,-0.49,-0.18,0.85,-0.15,0.60
1.59,-0.53,0.02,0.85,-0.15,0.60
1.69,-0.96,-0.60,0.84,-0.15,0.60
1.51,-1.34,-1.40,0.85,-0.15,0.60
1.57,-1.48,-1.66,0.85,-0.16,0.60
1.33,-1.36,-1.05,0.85,-0.15,0.60
1.25,-1.86,-1.51,0.85,-0.15,0.60
1.21,-1.76,-1.80,0.86,-0.15,0.60
0.92,-1.42,-1.57,0.84,-0.15,0.60
